ts_utc,k,c,n,p,server_ts
2026-08-28T16:39:23Z,3700,1122,27370,0,1787934915
2026-08-28T16:54:23Z,3710,1115,27258,0,1787935816
2026-08-28T17:09:23Z,3749,1128,27345,0,1787936713
2026-08-28T17:24:23Z,3748,1128,27346,0,1787937611
2026-08-28T17:39:23Z,3750,1127,27351,0,1787938515
2026-08-28T17:54:23Z,3750,1121,27296,0,1787939415
2026-08-28T18:09:24Z,3760,1117,27251,0,1787940315
2026-08-28T18:21:05Z,3749,1108,28101,0,1787941216
2026-08-28T18:24:24Z,3748,1107,28101,0,1787941216
2026-08-28T18:39:23Z,3751,1108,27160,0,1787942113
2026-08-28T18:54:23Z,3755,1105,26933,0,1787943019
2026-08-28T19:09:23Z,3772,1105,26864,0,1787943916
2026-08-28T19:24:23Z,3775,1103,26807,0,1787944813
2026-08-28T19:39:23Z,3777,1100,26801,0,1787945716
2026-08-28T19:54:24Z,3787,1104,26988,0,1787946616
2026-08-28T20:09:24Z,3785,1103,24735,0,1787947514
2026-08-28T20:24:23Z,3789,1103,24753,0,1787948416
2026-08-28T20:39:24Z,3789,1101,24729,0,1787949310
2026-08-28T20:54:23Z,3780,1098,24729,0,1787950216
2026-08-28T21:09:23Z,3775,1093,24740,0,1787951116
2026-08-28T21:24:23Z,3773,1090,24698,0,1787952017
2026-08-28T21:39:23Z,3774,1086,24488,0,1787952914
2026-08-28T21:42:27Z,3776,1086,24468,0,1787953216
2026-08-28T21:54:22Z,3776,1086,24463,0,1787953817
2026-08-28T22:09:22Z,3772,1087,24463,0,1787954712
2026-08-28T22:24:22Z,3771,1084,24472,0,1787955615
2026-08-28T22:39:22Z,3765,1084,24322,0,1787956514
2026-08-28T22:54:22Z,3765,1079,24320,0,1787957402
2026-08-28T23:09:22Z,3688,1074,23329,0,1787958312
2026-08-28T23:24:22Z,3688,1071,23329,0,1787959202
2026-08-28T23:39:22Z,3688,1071,23329,0,1787960102
2026-08-28T23:54:22Z,3689,1077,24425,0,1787961012
2026-08-29T00:09:22Z,3686,1079,24425,0,1787961913
2026-08-29T00:24:22Z,3682,1073,24491,0,1787962812
2026-08-29T00:39:22Z,3681,1073,24370,0,1787963714
2026-08-29T00:54:22Z,3681,1072,24312,0,1787964616
2026-08-29T01:09:22Z,3680,1071,24312,0,1787965513
2026-08-29T01:24:22Z,3680,1070,24312,0,1787966412
2026-08-29T01:39:22Z,3678,1070,24312,0,1787967312
2026-08-29T01:54:22Z,3676,1071,24317,0,1787968212
2026-08-29T02:09:22Z,3674,1072,24317,0,1787969116
2026-08-29T02:24:22Z,3674,1071,24317,0,1787970016
2026-08-29T02:39:22Z,3672,1073,24318,0,1787970915
2026-08-29T02:54:22Z,3670,1074,24318,0,1787971812
2026-08-29T03:09:22Z,3671,1072,24318,0,1787972713
2026-08-29T03:24:22Z,3671,1073,24310,0,1787973616
2026-08-29T03:39:22Z,3671,1072,24319,0,1787974513
2026-08-29T03:54:22Z,3670,1069,24360,0,1787975412
2026-08-29T04:09:22Z,3666,1070,24076,0,1787976315
2026-08-29T04:24:22Z,3671,1069,24066,0,1787977216
2026-08-29T04:39:22Z,3675,1072,24236,0,1787978114
2026-08-29T04:54:22Z,3678,1074,24243,0,1787979016
2026-08-29T05:09:22Z,3680,1077,24211,0,1787979916
2026-08-29T05:24:22Z,3683,1077,24283,0,1787980815
2026-08-29T05:39:22Z,3688,1078,24250,0,1787981714
2026-08-29T05:54:22Z,3687,1084,24288,0,1787982615
2026-08-29T06:09:22Z,3673,1088,24211,0,1787983513
2026-08-29T06:24:22Z,3679,1093,24563,0,1787984417
2026-08-29T06:39:23Z,3671,1102,24750,0,1787985317
2026-08-29T06:54:22Z,3672,1097,24628,0,1787986214
2026-08-29T07:09:23Z,3659,1095,24174,0,1787987117
2026-08-29T07:24:23Z,3661,1094,24075,0,1787988013
2026-08-29T07:39:22Z,3660,1095,23724,0,1787988918
2026-08-29T07:54:23Z,3679,1101,25203,0,1787989813
2026-08-29T08:09:23Z,3673,1100,25043,0,1787990712
2026-08-29T08:24:23Z,3665,1091,25655,0,1787991614
2026-08-29T08:39:23Z,3660,1086,25663,0,1787992512
2026-08-29T08:54:23Z,3656,1088,25017,0,1787993417
2026-08-29T09:09:23Z,3657,1087,26274,0,1787994316
2026-08-29T09:24:23Z,3600,1091,25529,0,1787995214
2026-08-29T09:39:23Z,3600,1088,26378,0,1787996117
2026-08-29T09:54:23Z,3609,1085,25810,0,1787997018
2026-08-29T10:09:23Z,3598,1092,26431,0,1787997915
2026-08-29T10:24:23Z,3585,1074,25473,0,1787998813
2026-08-29T10:39:23Z,3585,1073,26118,0,1787999716
2026-08-29T10:54:23Z,3566,1078,25675,0,1788000617
2026-08-29T11:09:23Z,3552,1082,26154,0,1788001512
2026-08-29T11:24:23Z,3533,1082,26373,0,1788002416
2026-08-29T11:39:23Z,3518,1079,25910,0,1788003314
2026-08-29T11:54:23Z,3506,1073,25307,0,1788004215
2026-08-29T12:09:23Z,3498,1066,25253,0,1788005116
2026-08-29T12:24:23Z,3480,1068,24731,0,1788006015
2026-08-29T12:39:23Z,3462,1055,24334,0,1788006912
2026-08-29T12:54:23Z,3465,1047,26414,0,1788007813
2026-08-29T13:09:23Z,3452,1041,25718,0,1788008715
2026-08-29T13:24:23Z,3430,1037,22631,0,1788009616
2026-08-29T13:39:23Z,3414,1024,22331,0,1788010512
2026-08-29T13:54:23Z,3406,1007,22481,0,1788011414
2026-08-29T14:09:23Z,3374,1003,23658,0,1788012316
2026-08-29T14:24:23Z,3352,995,22395,0,1788013214
2026-08-29T14:39:23Z,3348,983,22863,0,1788014115
2026-08-29T14:54:23Z,3322,975,22743,0,1788015015
2026-08-29T15:09:23Z,3315,956,22038,0,1788015914
2026-08-29T15:24:23Z,3298,959,21668,0,1788016811
2026-08-29T15:39:23Z,3266,970,20965,0,1788017714
2026-08-29T15:54:23Z,3250,957,20691,0,1788018613
2026-08-29T16:09:24Z,3224,932,20244,0,1788019514
2026-08-29T16:24:23Z,3198,924,19560,0,1788020414
2026-08-29T16:39:23Z,3181,926,18728,0,1788021314
2026-08-29T16:54:23Z,3167,926,18704,0,1788022213
2026-08-29T17:09:23Z,3162,917,18476,0,1788023113
2026-08-29T17:24:23Z,3154,920,18743,0,1788024011
2026-08-29T17:39:22Z,3207,919,18977,0,1788024914
2026-08-29T17:54:22Z,3177,908,19848,0,1788025811
2026-08-29T18:09:22Z,3175,908,22736,0,1788026714
2026-08-29T18:24:22Z,3176,903,22198,0,1788027615
2026-08-29T18:39:22Z,3175,907,22220,0,1788028513
2026-08-29T18:54:22Z,3154,908,20824,0,1788029413
2026-08-29T19:09:22Z,3153,901,18098,0,1788030310
2026-08-29T19:24:22Z,3155,894,17608,0,1788031209
2026-08-29T19:26:25Z,3133,889,17866,0,1788031509
2026-08-29T19:28:03Z,3133,888,17866,0,1788031509
2026-08-29T19:33:04Z,3143,888,18559,0,1788031814
2026-08-29T19:38:04Z,3141,885,17909,0,1788032110
2026-08-29T19:43:04Z,3138,884,17793,0,1788032413
2026-08-29T19:48:04Z,3141,884,17778,0,1788032710
2026-08-29T19:53:04Z,3143,885,17778,0,1788033014
2026-08-29T19:58:04Z,3141,885,17778,0,1788033312
2026-08-29T20:03:04Z,3141,885,17730,0,1788033611
2026-08-29T20:08:04Z,3140,880,17717,0,1788033910
2026-08-29T20:13:04Z,3138,880,17724,0,1788034217
2026-08-29T20:18:04Z,3133,882,17721,0,1788034513
2026-08-29T20:23:04Z,3134,882,17721,0,1788034810
2026-08-29T20:28:04Z,3132,882,17719,0,1788035110
2026-08-29T20:33:04Z,3132,878,17536,0,1788035409
2026-08-29T20:38:04Z,3132,877,16597,0,1788035712
2026-08-29T20:43:04Z,3127,879,16567,0,1788036014
2026-08-29T20:48:04Z,3126,879,16560,0,1788036313
2026-08-29T20:53:04Z,3125,876,16565,0,1788036615
2026-08-29T20:58:04Z,3126,877,16565,0,1788036912
2026-08-29T21:03:04Z,3124,877,16395,0,1788037215
2026-08-29T21:08:04Z,3121,875,16585,0,1788037514
2026-08-29T21:13:04Z,3121,874,16585,0,1788037816
2026-08-29T21:18:04Z,3121,874,16585,0,1788038113
2026-08-29T21:23:05Z,3121,873,16601,0,1788038411
2026-08-29T21:28:04Z,3120,871,16286,0,1788038712
2026-08-29T21:33:04Z,3121,874,16355,0,1788039013
2026-08-29T21:38:05Z,3122,873,16339,0,1788039315
2026-08-29T21:43:05Z,3122,871,16339,0,1788039611
2026-08-29T21:48:05Z,3122,871,16339,0,1788039914
2026-08-29T21:53:05Z,3122,870,16339,0,1788040212
2026-08-29T21:58:05Z,3124,870,16339,0,1788040511
2026-08-29T22:03:05Z,3126,870,16339,0,1788040815
2026-08-29T22:08:05Z,3126,870,16168,0,1788041112
2026-08-29T22:13:05Z,3127,870,16339,0,1788041412
2026-08-29T22:18:05Z,3127,870,16626,0,1788041714
2026-08-29T22:23:05Z,3127,870,16603,0,1788042013
2026-08-29T22:28:05Z,3126,871,16603,0,1788042312
2026-08-29T22:33:05Z,3126,871,16353,0,1788042615
2026-08-29T22:38:05Z,3126,876,16527,0,1788042910
2026-08-29T22:43:05Z,3126,875,16358,0,1788043214
2026-08-29T22:48:05Z,3126,875,16516,0,1788043509
2026-08-29T22:53:05Z,3126,873,16516,0,1788043815
2026-08-29T22:58:05Z,3126,873,16516,0,1788044110
2026-08-29T23:03:05Z,3126,873,16516,0,1788044414
2026-08-29T23:08:05Z,3126,873,16516,0,1788044713
2026-08-29T23:13:05Z,3125,874,16516,0,1788045016
2026-08-29T23:18:05Z,3116,874,16516,0,1788045310
2026-08-29T23:23:05Z,3116,873,16516,0,1788045612
2026-08-29T23:28:05Z,3115,874,16516,0,1788045910
2026-08-29T23:33:05Z,3115,874,16535,0,1788046211
2026-08-29T23:38:05Z,3115,873,16535,0,1788046510
2026-08-29T23:43:05Z,3114,874,16730,0,1788046814
2026-08-29T23:48:05Z,3114,874,16531,0,1788047113
2026-08-29T23:53:05Z,3114,874,16531,0,1788047413
2026-08-29T23:58:05Z,3114,873,16531,0,1788047713
2026-08-30T00:03:05Z,3114,872,16531,0,1788048016
2026-08-30T00:08:05Z,3114,872,16531,0,1788048314
2026-08-30T00:13:05Z,3114,872,16503,0,1788048611
2026-08-30T00:18:05Z,3114,872,16521,0,1788048910
2026-08-30T00:23:05Z,3114,873,16382,0,1788049213
2026-08-30T00:28:05Z,3114,872,16521,0,1788049513
2026-08-30T00:33:05Z,3116,871,16521,0,1788049813
2026-08-30T00:38:05Z,3116,872,16605,0,1788050114
2026-08-30T00:43:05Z,3116,872,16605,0,1788050409
2026-08-30T00:48:05Z,3116,872,16445,0,1788050712
2026-08-30T00:53:05Z,3116,872,16445,0,1788051013
2026-08-30T00:58:05Z,3116,872,16376,0,1788051313
2026-08-30T01:03:05Z,3116,871,16376,0,1788051615
2026-08-30T01:08:05Z,3116,871,16376,0,1788051910
2026-08-30T01:13:05Z,3116,871,16376,0,1788052212
2026-08-30T01:18:05Z,3116,870,16376,0,1788052516
2026-08-30T01:23:05Z,3116,870,16376,0,1788052811
2026-08-30T01:28:05Z,3115,871,16379,0,1788053112
2026-08-30T01:33:05Z,3115,871,16379,0,1788053411
2026-08-30T01:38:05Z,3115,871,16379,0,1788053709
2026-08-30T01:43:05Z,3115,871,16379,0,1788054012
2026-08-30T01:48:05Z,3115,871,16379,0,1788054311
2026-08-30T01:53:05Z,3115,871,16379,0,1788054612
2026-08-30T01:58:05Z,3115,872,16378,0,1788054913
2026-08-30T02:03:05Z,3115,872,16378,0,1788055213
2026-08-30T02:08:05Z,3115,872,16378,0,1788055515
2026-08-30T02:13:05Z,3115,872,16373,0,1788055812
2026-08-30T02:18:05Z,3115,872,16373,0,1788056110
2026-08-30T02:23:05Z,3115,872,16373,0,1788056409
2026-08-30T02:28:05Z,3115,870,16373,0,1788056712
2026-08-30T02:33:05Z,3117,870,16373,0,1788057012
2026-08-30T02:38:05Z,3117,870,16373,0,1788057313
2026-08-30T02:43:05Z,3117,870,16373,0,1788057613
2026-08-30T02:48:05Z,3116,871,16376,0,1788057912
2026-08-30T02:53:05Z,3116,871,16342,0,1788058212
2026-08-30T02:58:05Z,3116,871,16342,0,1788058514
2026-08-30T03:03:05Z,3115,872,16342,0,1788058811
2026-08-30T03:08:05Z,3114,871,16342,0,1788059110
2026-08-30T03:13:05Z,3114,871,16342,0,1788059412
2026-08-30T03:18:05Z,3114,870,16342,0,1788059712
2026-08-30T03:23:05Z,3114,870,16342,0,1788060013
2026-08-30T03:28:05Z,3113,870,16342,0,1788060313
2026-08-30T03:33:05Z,3111,871,16347,0,1788060615
2026-08-30T03:38:05Z,3112,871,16347,0,1788060912
2026-08-30T03:43:05Z,3112,870,16347,0,1788061212
2026-08-30T03:48:05Z,3114,870,16347,0,1788061513
2026-08-30T03:53:05Z,3114,870,16347,0,1788061812
2026-08-30T03:58:05Z,3114,870,16347,0,1788062113
2026-08-30T04:03:05Z,3114,870,16347,0,1788062414
2026-08-30T04:08:05Z,3117,870,16347,0,1788062712
2026-08-30T04:13:05Z,3119,870,16347,0,1788063012
2026-08-30T04:18:05Z,3119,872,16637,0,1788063314
2026-08-30T04:23:05Z,3120,872,16553,0,1788063612
2026-08-30T04:28:05Z,3122,872,16553,0,1788063909
2026-08-30T04:33:05Z,3117,872,16833,0,1788064212
2026-08-30T04:38:05Z,3118,873,16847,0,1788064511
2026-08-30T04:43:04Z,3118,874,16849,0,1788064810
2026-08-30T04:48:04Z,3115,876,16588,0,1788065113
2026-08-30T04:53:04Z,3114,876,16588,0,1788065413
2026-08-30T04:58:04Z,3116,876,16588,0,1788065709
2026-08-30T05:03:04Z,3116,876,16587,0,1788066014
2026-08-30T05:08:04Z,3115,878,16589,0,1788066314
2026-08-30T05:13:04Z,3108,879,16632,0,1788066614
2026-08-30T05:18:04Z,3101,879,16656,0,1788066911
2026-08-30T05:23:04Z,3104,879,16412,0,1788067210
2026-08-30T05:28:04Z,3103,880,16429,0,1788067515
2026-08-30T05:33:04Z,3099,883,16431,0,1788067813
2026-08-30T05:38:04Z,3101,884,16412,0,1788068113
2026-08-30T05:43:04Z,3103,885,16415,0,1788068414
2026-08-30T05:48:04Z,3101,888,16428,0,1788068712
2026-08-30T05:53:04Z,3105,889,16427,0,1788069012
2026-08-30T05:58:04Z,3106,887,16323,0,1788069312
2026-08-30T06:03:04Z,3105,890,16321,0,1788069613
2026-08-30T06:08:04Z,3109,895,16283,0,1788069912
2026-08-30T06:13:04Z,3111,897,16299,0,1788070211
2026-08-30T06:18:04Z,3109,895,16309,0,1788070510
2026-08-30T06:23:04Z,3108,895,16326,0,1788070814
2026-08-30T06:28:04Z,3108,897,16294,0,1788071112
2026-08-30T06:33:04Z,3113,898,16603,0,1788071410
2026-08-30T06:38:04Z,3105,899,16643,0,1788071712
2026-08-30T06:43:04Z,3106,896,16593,0,1788072015
2026-08-30T06:48:04Z,3100,894,16541,0,1788072314
2026-08-30T06:53:04Z,3097,892,16450,0,1788072611
2026-08-30T06:58:04Z,3103,888,16450,0,1788072909
2026-08-30T07:03:04Z,3112,889,16329,0,1788073212
2026-08-30T07:08:04Z,3112,891,16333,0,1788073510
2026-08-30T07:13:04Z,3108,892,16210,0,1788073813
2026-08-30T07:18:04Z,3100,894,16295,0,1788074113
2026-08-30T07:23:04Z,3102,888,16279,0,1788074412
2026-08-30T07:28:04Z,3099,886,16268,0,1788074713
2026-08-30T07:33:04Z,3106,885,16508,0,1788075013
2026-08-30T07:38:05Z,3112,883,16191,0,1788075310
2026-08-30T07:43:04Z,3116,882,16453,0,1788075611
2026-08-30T07:48:05Z,3117,885,16181,0,1788075913
2026-08-30T07:53:04Z,3101,885,16160,0,1788076213
2026-08-30T07:58:05Z,3107,892,16177,0,1788076513
2026-08-30T08:03:05Z,3106,888,15985,0,1788076813
2026-08-30T08:08:05Z,3113,891,15962,0,1788077113
2026-08-30T08:13:05Z,3104,889,16020,0,1788077414
2026-08-30T08:18:05Z,3076,893,15894,0,1788077714
2026-08-30T08:23:05Z,3065,890,15895,0,1788078013
2026-08-30T08:28:05Z,3060,879,15609,0,1788078313
2026-08-30T08:33:05Z,3027,876,15540,0,1788078613
2026-08-30T08:38:05Z,3024,877,15556,0,1788078912
2026-08-30T08:43:05Z,3019,876,15532,0,1788079215
2026-08-30T08:48:05Z,3021,872,15539,0,1788079510
2026-08-30T08:53:05Z,3016,871,15383,0,1788079809
2026-08-30T08:58:05Z,3006,867,15381,0,1788080112
2026-08-30T09:03:05Z,2999,866,15335,0,1788080411
2026-08-30T09:08:05Z,2997,859,15167,0,1788080715
2026-08-30T09:13:05Z,2994,858,15138,0,1788081012
2026-08-30T09:18:05Z,2995,857,14903,0,1788081311
2026-08-30T09:23:05Z,2990,858,14631,0,1788081614
2026-08-30T09:28:05Z,2978,850,14676,0,1788081912
2026-08-30T09:33:05Z,2966,850,14668,0,1788082211
2026-08-30T09:38:05Z,2953,845,14522,0,1788082513
2026-08-30T09:43:05Z,2940,846,14582,0,1788082812
2026-08-30T09:48:05Z,2933,844,14602,0,1788083111
2026-08-30T09:53:05Z,2920,848,14856,0,1788083409
2026-08-30T09:58:08Z,2911,847,14834,0,1788083708
2026-08-30T10:03:08Z,2901,856,14891,0,1788084012
2026-08-30T10:08:08Z,2893,854,14784,0,1788084314
2026-08-30T10:13:09Z,2883,844,14741,0,1788084612
2026-08-30T10:18:18Z,2886,838,15085,0,1788084910
2026-08-30T10:23:07Z,2882,840,15135,0,1788085212
2026-08-30T10:28:07Z,2870,835,15038,0,1788085513
2026-08-30T10:33:08Z,2857,841,15122,0,1788085814
2026-08-30T10:38:05Z,2857,839,14968,0,1788086112
2026-08-30T10:43:05Z,2856,837,14837,0,1788086409
2026-08-30T10:48:05Z,2843,831,15325,0,1788086710
2026-08-30T10:53:05Z,2830,832,14750,0,1788087012
2026-08-30T10:58:05Z,2828,827,14489,0,1788087313
2026-08-30T11:03:05Z,2823,822,14780,0,1788087615
2026-08-30T11:08:05Z,2816,821,14763,0,1788087910
2026-08-30T11:13:05Z,2815,819,14767,0,1788088210
2026-08-30T11:18:05Z,2809,821,14875,0,1788088512
2026-08-30T11:23:05Z,2804,815,14802,0,1788088810
2026-08-30T11:28:05Z,2796,816,14750,0,1788089112
2026-08-30T11:33:05Z,2789,812,14473,0,1788089411
2026-08-30T11:38:05Z,2779,818,14430,0,1788089713
2026-08-30T11:43:05Z,2773,817,14239,0,1788090009
2026-08-30T11:48:05Z,2768,816,14027,0,1788090312
2026-08-30T11:53:05Z,2767,813,14124,0,1788090611
2026-08-30T11:58:05Z,2762,814,14179,0,1788090909
2026-08-30T12:03:05Z,2768,809,14082,0,1788091214
2026-08-30T12:08:05Z,2762,813,14479,0,1788091511
2026-08-30T12:13:05Z,2757,812,14011,0,1788091810
2026-08-30T12:18:05Z,2759,802,13939,0,1788092111
2026-08-30T12:23:05Z,2761,799,13919,0,1788092411
2026-08-30T12:28:05Z,2737,787,13797,0,1788092709
2026-08-30T12:33:05Z,2732,792,13710,0,1788093011
2026-08-30T12:38:05Z,2724,788,13619,0,1788093314
2026-08-30T12:43:05Z,2708,786,13561,0,1788093609
2026-08-30T12:48:05Z,2705,785,13918,0,1788093913
2026-08-30T12:53:05Z,2703,790,13428,0,1788094213
2026-08-30T12:58:05Z,2700,791,13478,0,1788094511
2026-08-30T13:03:06Z,2696,784,13271,0,1788094813
2026-08-30T13:08:05Z,2693,783,13210,0,1788095112
2026-08-30T13:13:05Z,2688,780,13004,0,1788095410
2026-08-30T13:18:05Z,2688,776,13004,0,1788095711
2026-08-30T13:23:05Z,2688,769,12845,0,1788096011
2026-08-30T13:28:05Z,2683,771,12674,0,1788096311
2026-08-30T13:33:05Z,2679,772,13216,0,1788096611
2026-08-30T13:38:05Z,2673,771,13032,0,1788096913
2026-08-30T13:43:05Z,2654,777,12981,0,1788097211
2026-08-30T13:48:05Z,2653,774,12582,0,1788097514
2026-08-30T13:53:05Z,2653,773,12592,0,1788097811
2026-08-30T13:58:05Z,2651,765,12563,0,1788098111
2026-08-30T14:03:05Z,2647,765,12556,0,1788098411
2026-08-30T14:08:05Z,2640,769,12546,0,1788098710
2026-08-30T14:13:05Z,2635,767,12502,0,1788099012
2026-08-30T14:18:05Z,2633,760,12420,0,1788099309
2026-08-30T14:23:05Z,2619,755,12270,0,1788099612
2026-08-30T14:28:05Z,2612,758,12222,0,1788099912
2026-08-30T14:33:05Z,2578,759,12934,0,1788100209
2026-08-30T14:38:05Z,2573,761,12161,0,1788100512
2026-08-30T14:43:05Z,2564,765,12166,0,1788100811
2026-08-30T14:48:05Z,2560,764,12142,0,1788101111
2026-08-30T14:53:05Z,2559,753,12142,0,1788101408
2026-08-30T14:58:05Z,2559,745,12142,0,1788101711
2026-08-30T15:03:05Z,2559,743,12142,0,1788102010
2026-08-30T15:08:05Z,2559,742,12142,0,1788102311
2026-08-30T15:13:05Z,2559,742,12142,0,1788102610
2026-08-30T15:18:05Z,2559,741,12142,0,1788102909
2026-08-30T15:23:05Z,2559,741,12142,0,1788103211
2026-08-30T15:28:05Z,2559,741,12142,0,1788103511
2026-08-30T15:33:05Z,2559,741,12142,0,1788103811
2026-08-30T15:38:06Z,2559,741,12142,0,1788104112
2026-08-30T15:48:05Z,2558,741,12142,0,1788104710
2026-08-30T15:53:05Z,2558,741,12142,0,1788105008
2026-08-30T15:58:05Z,2558,741,12142,0,1788105312
2026-08-30T16:03:05Z,2558,741,12142,0,1788105612
2026-08-30T16:08:05Z,2558,741,12142,0,1788105910
2026-08-30T16:13:05Z,2558,741,12142,0,1788106210
2026-08-30T16:18:05Z,2558,741,12142,0,1788106511
2026-08-30T16:23:05Z,2558,741,12142,0,1788106811
2026-08-30T16:28:05Z,2558,741,12142,0,1788107110
2026-08-30T16:33:05Z,2558,741,12142,0,1788107411
2026-08-30T16:38:05Z,2558,741,12142,0,1788107711
2026-08-30T16:43:05Z,2558,741,12142,0,1788108008
2026-08-30T16:48:05Z,2558,741,12142,0,1788108308
2026-08-30T16:53:05Z,2558,741,12142,0,1788108608
2026-08-30T16:58:05Z,2558,741,12142,0,1788108909
2026-08-30T17:03:05Z,2558,741,12142,0,1788109211
2026-08-30T17:08:05Z,2558,741,12142,0,1788109510
2026-08-30T17:18:04Z,2558,741,12142,0,1788110110
2026-08-30T17:23:04Z,2558,741,12142,0,1788110411
2026-08-30T17:28:04Z,2558,741,12142,0,1788110710
2026-08-30T17:33:04Z,2558,741,12142,0,1788111011
2026-08-30T17:38:04Z,2558,741,12142,0,1788111309
2026-08-30T17:43:04Z,2558,741,12142,0,1788111609
2026-08-30T17:48:04Z,2558,741,12142,0,1788111908
2026-08-30T17:53:05Z,2558,741,12142,0,1788112211
2026-08-30T17:58:04Z,2597,772,12464,0,1788112510
2026-08-30T18:03:04Z,2599,812,12891,0,1788112811
2026-08-30T18:08:04Z,2606,842,13199,0,1788113109
2026-08-30T18:13:05Z,2607,839,13256,0,1788113409
2026-08-30T18:18:05Z,2607,839,13228,0,1788113713
2026-08-30T18:23:05Z,2615,840,13237,0,1788114009
2026-08-30T18:28:04Z,2614,838,13237,0,1788114308
2026-08-30T18:33:05Z,2614,841,13202,0,1788114608
2026-08-30T18:38:05Z,2609,839,13201,0,1788114910
2026-08-30T18:43:05Z,2606,842,13216,0,1788115208
2026-08-30T18:48:05Z,2607,842,13212,0,1788115509
2026-08-30T18:53:05Z,2607,842,13213,0,1788115810
2026-08-30T18:58:05Z,2609,838,13212,0,1788116108
2026-08-30T19:03:05Z,2610,835,13212,0,1788116412
2026-08-30T19:08:04Z,2603,838,13229,0,1788116708
2026-08-30T19:13:04Z,2604,837,13229,0,1788117010
2026-08-30T19:18:04Z,2604,836,13215,0,1788117309
2026-08-30T19:23:04Z,2601,836,13222,0,1788117611
2026-08-30T19:28:04Z,2621,847,13327,0,1788117913
2026-08-30T19:33:04Z,2567,874,13100,0,1788118209
2026-08-30T19:38:04Z,2565,874,13083,0,1788118508
2026-08-30T19:43:04Z,2550,941,14296,0,1788118810
2026-08-30T19:48:04Z,2551,942,14291,0,1788119111
2026-08-30T19:53:04Z,2551,942,14286,0,1788119410
2026-08-30T19:58:04Z,2550,939,14243,0,1788119708
2026-08-30T20:03:04Z,2549,937,14234,0,1788120010
2026-08-30T20:08:04Z,2549,936,14234,0,1788120310
2026-08-30T20:13:04Z,2548,937,14214,0,1788120611
2026-08-30T20:18:04Z,2548,938,14214,0,1788120911
2026-08-30T20:23:05Z,2550,937,14214,0,1788121209
2026-08-30T20:28:05Z,2549,936,14214,0,1788121512
2026-08-30T20:33:05Z,2549,935,14214,0,1788121811
2026-08-30T20:38:05Z,2548,935,14202,0,1788122108
2026-08-30T20:43:05Z,2547,936,14203,0,1788122410
2026-08-30T20:48:05Z,2547,935,14202,0,1788122708
2026-08-30T20:53:05Z,2548,936,14202,0,1788123010
2026-08-30T20:58:05Z,2548,935,14202,0,1788123310
2026-08-30T21:03:05Z,2549,934,14202,0,1788123613
2026-08-30T21:08:05Z,2550,933,14199,0,1788123908
2026-08-30T21:13:05Z,2550,933,14199,0,1788124208
2026-08-30T21:18:05Z,2549,934,14192,0,1788124512
2026-08-30T21:23:05Z,2548,935,14192,0,1788124812
